Organization,Subject,Status,Check Date,Mapped Version,Hash,URL
Ohio,General,✔️ No changes,2026-04-08,2023,64d0d325cc2f927086eda85fe8c4c0b4e4ac0e98eb0467bfa3ebc640bf93b70d,https://education.ohio.gov/Topics/Learning-in-Ohio/Ohios-Learning-Standards
Oklahoma,General,✔️ No changes,2026-04-08,2023,e7b4a3079719b20fe6ab1943aea3ab0ecd6b5067d38298d2ceb73be7aca8c34d,https://sde.ok.gov/oklahoma-academic-standards
Oregon,General,✔️ No changes,2026-04-08,2023,255613a7f583ec38ef8372944b52387c863a450a3e0189a1cf427685b62fa42a,https://www.oregon.gov/ode/educator-resources/standards/Pages/default.aspx
Pennsylvania,General,✔️ No changes,2026-04-08,2023,658ab610151a2b250374c451898b1657e5f53575ace312ead4bbb345104da69d,https://www.pdesas.org/Standard/StandardsHierarchy
Rhode Island,General,✔️ No changes,2026-04-08,2023,3defbe3a175b944e2cd4000e9bda9e676d6739107b5fd07be72f6ed6e6e3310c,https://www.ride.ri.gov/InstructionAssessment/LearningStandards.aspx
South Carolina,General,✔️ No changes,2026-04-08,2023,2310362bb3d4d9fa9576e09610c8a491fd3e15df78f635f0476036b375b70145,https://ed.sc.gov/instruction/standards-learning/
South Dakota,General,✔️ No changes,2026-04-08,2023,cf5f8dfc8a18dddabba9157808992ac7b026b5bfbc22db977e30babd6df1f348,https://doe.sd.gov/contentstandards/
Tennessee,General,❌ Error,2026-04-08,2023,,https://www.tn.gov/education/districts/academic-standards.html
Texas,General,✔️ No changes,2026-04-08,2023,ddc8fc7d6e7a404d90b501555b0dd14c52c611976e2f343b98c2d48eccdd0e75,https://tea.texas.gov/academics/curriculum/teks/texas-essential-knowledge-and-skills
Utah,General,✔️ No changes,2026-04-08,2023,80c3fe2ae1062abf56456f52518bd670f9ec3917b7f85e152b347ac6b6faf880,https://www.schools.utah.gov/curr/utahcore
Vermont,General,✔️ No changes,2026-04-08,2023,8878c09da5674910c956bee4febb28350cf840c6e48c47d9c0e883811a35090a,https://education.vermont.gov/student-learning/content-areas
Virginia,General,✔️ No changes,2026-04-08,2023,a5acdf052453c204b3ce2607dcb5cc8716acaf04b314c6eb54e8da5b6f734f1f,https://www.doe.virginia.gov/testing/index.shtml
Washington,General,✔️ No changes,2026-04-08,2023,8cf050eb0d72e45ca1cddf205185281c403cf679f6622b6bc43e75abd287cb43,https://www.k12.wa.us/student-success/learning-standards-instructional-materials
West Virginia,General,✔️ No changes,2026-04-08,2023,9a2708370894b76d4f2b78cd5cf894167146ca0c23c691d554bff43956518ce4,https://wvde.us/tree/
Wisconsin,General,✔️ No changes,2026-04-08,2023,50c587fab2a88f62541e7afda617aba29acdd8cf797df3666570cc5d82c6c265,https://dpi.wi.gov/standards
Wyoming,General,✔️ No changes,2026-04-08,2023,77702db3d251dcc320f7816db60437e75d16a939ed1ada08953b9ed47c67111c,https://edu.wyoming.gov/educators/standards/
